Distribution,Count,Mean,Std,67th_Percentile,90th_Percentile,95th_Percentile,99th_Percentile,Min,Max
Negative DART_SLT (Abs),14951,1.8546864498686155,0.9678685524862322,2.226783234115411,3.030495953490282,3.494344262312193,4.564866611580356,0.002496880198587146,7.302824873824813
Positive DART_SLT,10951,1.7140502781609275,1.0703553538447155,2.0031677074489456,3.1543373037306295,3.7296006496744436,4.953544062593849,0.002496880198587146,7.802345243231031
